,origin,destination,departure_date,flight_route_number,customer,CustomerNumber,Gender,Age,ZipCode,TotalFlights,first_name,last_name
55,DEN,LAX,5/16/2016,203,8,8,1,45.95195479,70403,9,CHARLES,MOORE
56,BHM,MDW,5/24/2016,131,8,8,1,45.95195479,70403,9,CHARLES,MOORE
57,DAL,LAS,5/16/2016,454,9,9,1,46.32066429,38376,4,JOSEPH,TAYLOR
58,BWI,MSP,5/3/2016,429,9,9,1,46.32066429,38376,4,JOSEPH,TAYLOR
59,OAK,DEN,5/4/2016,578,9,9,1,46.32066429,38376,4,JOSEPH,TAYLOR
60,SEA,OAK,5/22/2016,13,9,9,1,46.32066429,38376,4,JOSEPH,TAYLOR
61,BUR,SMF,5/10/2016,458,10,10,1,35.97226598,33646,5,THOMAS,ANDERSON
62,BUF,BWI,5/30/2016,347,10,10,1,35.97226598,33646,5,THOMAS,ANDERSON
63,ALB,BWI,5/5/2016,167,10,10,1,35.97226598,33646,5,THOMAS,ANDERSON
64,RDU,BWI,5/25/2016,363,10,10,1,35.97226598,33646,5,THOMAS,ANDERSON
65,ATL,RIC,5/4/2016,518,10,10,1,35.97226598,33646,5,THOMAS,ANDERSON
66,SJC,DAL,5/4/2016,253,12,12,0,48.1326717,56501,4,NANCY,JACKSON
67,BWI,BUF,5/2/2016,127,12,12,0,48.1326717,56501,4,NANCY,JACKSON
68,ABQ,DAL,5/12/2016,39,12,12,0,48.1326717,56501,4,NANCY,JACKSON
69,MDW,OAK,5/26/2016,598,12,12,0,48.1326717,56501,4,NANCY,JACKSON
70,SAN,TUS,5/10/2016,43,13,13,1,35.88321074,48277,5,PAUL,WHITE
71,DAL,MKE,5/1/2016,78,13,13,1,35.88321074,48277,5,PAUL,WHITE
72,MKE,MCO,5/26/2016,131,13,13,1,35.88321074,48277,5,PAUL,WHITE
73,FLL,PIT,5/4/2016,402,13,13,1,35.88321074,48277,5,PAUL,WHITE
74,DTW,DEN,5/29/2016,348,13,13,1,35.88321074,48277,5,PAUL,WHITE
75,OAK,BUR,5/24/2016,468,14,14,0,40.68592914,68865,6,BETTY,HARRIS
76,MDW,CUN,5/28/2016,233,14,14,0,40.68592914,68865,6,BETTY,HARRIS
77,MCI,MDW,5/5/2016,208,14,14,0,40.68592914,68865,6,BETTY,HARRIS
78,MCO,PIT,5/8/2016,65,14,14,0,40.68592914,68865,6,BETTY,HARRIS
79,BOS,AUS,5/13/2016,463,14,14,0,40.68592914,68865,6,BETTY,HARRIS
80,ATL,RSW,5/17/2016,265,14,14,0,40.68592914,68865,6,BETTY,HARRIS
81,SMF,SAN,5/6/2016,610,15,15,0,50.85868364,17349,13,HELEN,MARTIN
82,PIT,LAS,5/8/2016,459,15,15,0,50.85868364,17349,13,HELEN,MARTIN
83,DAL,MCO,5/25/2016,597,15,15,0,50.85868364,17349,13,HELEN,MARTIN
84,SLC,LAX,5/21/2016,283,15,15,0,50.85868364,17349,13,HELEN,MARTIN
85,MCI,ATL,5/23/2016,487,15,15,0,50.85868364,17349,13,HELEN,MARTIN
86,BUF,MDW,5/3/2016,294,15,15,0,50.85868364,17349,13,HELEN,MARTIN
87,MDW,ATL,5/7/2016,344,15,15,0,50.85868364,17349,13,HELEN,MARTIN
88,DAL,MCI,5/8/2016,43,15,15,0,50.85868364,17349,13,HELEN,MARTIN
89,BWI,MCO,5/28/2016,322,15,15,0,50.85868364,17349,13,HELEN,MARTIN
90,PDX,DEN,5/4/2016,273,15,15,0,50.85868364,17349,13,HELEN,MARTIN
91,DEN,SAN,5/12/2016,559,15,15,0,50.85868364,17349,13,HELEN,MARTIN
92,MSY,MDW,5/17/2016,199,15,15,0,50.85868364,17349,13,HELEN,MARTIN
93,DAL,OMA,5/19/2016,330,15,15,0,50.85868364,17349,13,HELEN,MARTIN
94,MCO,MSY,5/25/2016,227,16,16,0,48.82928819,24048,14,SANDRA,THOMPSON
95,MDW,PHX,5/17/2016,531,16,16,0,48.82928819,24048,14,SANDRA,THOMPSON
96,MCO,MKE,5/27/2016,175,16,16,0,48.82928819,24048,14,SANDRA,THOMPSON
97,BWI,SEA,5/3/2016,306,16,16,0,48.82928819,24048,14,SANDRA,THOMPSON
98,DEN,STL,5/10/2016,578,16,16,0,48.82928819,24048,14,SANDRA,THOMPSON
99,STL,BWI,5/23/2016,295,16,16,0,48.82928819,24048,14,SANDRA,THOMPSON
100,LAX,LAS,5/23/2016,358,16,16,0,48.82928819,24048,14,SANDRA,THOMPSON
101,SDF,TPA,5/30/2016,638,16,16,0,48.82928819,24048,14,SANDRA,THOMPSON
102,BWI,MKE,5/26/2016,66,16,16,0,48.82928819,24048,14,SANDRA,THOMPSON
103,OMA,DEN,5/29/2016,90,16,16,0,48.82928819,24048,14,SANDRA,THOMPSON
104,TPA,MCI,5/31/2016,358,16,16,0,48.82928819,24048,14,SANDRA,THOMPSON
105,SMF,LAX,5/25/2016,326,16,16,0,48.82928819,24048,14,SANDRA,THOMPSON
106,SEA,DEN,5/20/2016,640,16,16,0,48.82928819,24048,14,SANDRA,THOMPSON
107,IND,MCI,5/25/2016,498,16,16,0,48.82928819,24048,14,SANDRA,THOMPSON
108,MDW,ALB,5/12/2016,623,17,17,0,44.11900476,77447,15,DONNA,GARCIA
109,DEN,SLC,5/27/2016,616,17,17,0,44.11900476,77447,15,DONNA,GARCIA
110,MSP,PHX,5/21/2016,83,17,17,0,44.11900476,77447,15,DONNA,GARCIA
111,HOU,OKC,5/15/2016,61,17,17,0,44.11900476,77447,15,DONNA,GARCIA
112,DEN,IAD,5/22/2016,534,17,17,0,44.11900476,77447,15,DONNA,GARCIA
113,DAL,SNA,5/4/2016,105,17,17,0,44.11900476,77447,15,DONNA,GARCIA
114,OAK,PHX,5/17/2016,100,17,17,0,44.11900476,77447,15,DONNA,GARCIA
115,IND,MCO,5/7/2016,432,17,17,0,44.11900476,77447,15,DONNA,GARCIA
116,LAX,LAS,5/3/2016,251,17,17,0,44.11900476,77447,15,DONNA,GARCIA
117,PHX,BWI,5/6/2016,620,17,17,0,44.11900476,77447,15,DONNA,GARCIA
118,ALB,MCO,5/1/2016,161,17,17,0,44.11900476,77447,15,DONNA,GARCIA
119,LAS,LAX,5/8/2016,446,17,17,0,44.11900476,77447,15,DONNA,GARCIA
120,MSP,DEN,5/14/2016,431,17,17,0,44.11900476,77447,15,DONNA,GARCIA
121,LAS,OAK,5/3/2016,61,17,17,0,44.11900476,77447,15,DONNA,GARCIA
122,MCO,DEN,5/22/2016,549,17,17,0,44.11900476,77447,15,DONNA,GARCIA
123,MDW,LAX,5/9/2016,168,18,18,0,46.4059971,24202,2,CAROL,MARTINEZ
124,LAX,SJC,5/10/2016,297,18,18,0,46.4059971,24202,2,CAROL,MARTINEZ
125,MCO,DEN,5/12/2016,224,19,19,1,54.13769419,56393,5,EDWARD,ROBINSON
126,OMA,STL,5/23/2016,201,19,19,1,54.13769419,56393,5,EDWARD,ROBINSON
127,DAL,DEN,5/24/2016,301,19,19,1,54.13769419,56393,5,EDWARD,ROBINSON
128,OAK,SAN,5/26/2016,258,19,19,1,54.13769419,56393,5,EDWARD,ROBINSON
129,SLC,DEN,5/12/2016,11,19,19,1,54.13769419,56393,5,EDWARD,ROBINSON
130,MCI,STL,5/8/2016,279,20,20,0,46.41342547,72513,12,SHARON,CLARK
131,SAN,DEN,5/25/2016,644,20,20,0,46.41342547,72513,12,SHARON,CLARK
132,MCI,LAX,5/31/2016,208,20,20,0,46.41342547,72513,12,SHARON,CLARK
133,PHX,OAK,5/2/2016,93,20,20,0,46.41342547,72513,12,SHARON,CLARK
134,LAX,MCI,5/30/2016,289,20,20,0,46.41342547,72513,12,SHARON,CLARK
135,MCO,SDF,5/23/2016,245,20,20,0,46.41342547,72513,12,SHARON,CLARK
136,SJC,BUR,5/19/2016,329,20,20,0,46.41342547,72513,12,SHARON,CLARK
137,IND,MCO,5/1/2016,87,20,20,0,46.41342547,72513,12,SHARON,CLARK
138,LAX,DEN,5/26/2016,510,20,20,0,46.41342547,72513,12,SHARON,CLARK
139,RSW,BWI,5/28/2016,240,20,20,0,46.41342547,72513,12,SHARON,CLARK
140,PWM,BWI,5/31/2016,304,20,20,0,46.41342547,72513,12,SHARON,CLARK
141,DAL,AUS,5/7/2016,8,20,20,0,46.41342547,72513,12,SHARON,CLARK
142,MDW,TPA,5/23/2016,554,21,21,1,38.14011747,62515,4,RONALD,RODRIGUEZ
143,DEN,MSP,5/4/2016,277,21,21,1,38.14011747,62515,4,RONALD,RODRIGUEZ
144,ABQ,HOU,5/14/2016,24,21,21,1,38.14011747,62515,4,RONALD,RODRIGUEZ
145,BUR,OAK,5/26/2016,343,21,21,1,38.14011747,62515,4,RONALD,RODRIGUEZ
146,FLL,STL,5/28/2016,126,22,22,1,50.5517072,43420,14,ANTHONY,LEWIS
147,CLE,BWI,5/23/2016,26,22,22,1,50.5517072,43420,14,ANTHONY,LEWIS
148,DCA,AUS,5/19/2016,638,22,22,1,50.5517072,43420,14,ANTHONY,LEWIS
149,MDW,MCO,5/7/2016,381,22,22,1,50.5517072,43420,14,ANTHONY,LEWIS
150,MDW,PHX,5/23/2016,238,22,22,1,50.5517072,43420,14,ANTHONY,LEWIS
151,DAL,SNA,5/21/2016,242,22,22,1,50.5517072,43420,14,ANTHONY,LEWIS
152,MEM,TPA,5/24/2016,319,22,22,1,50.5517072,43420,14,ANTHONY,LEWIS
153,OAK,BUR,5/7/2016,195,22,22,1,50.5517072,43420,14,ANTHONY,LEWIS
154,DEN,LAX,5/22/2016,287,22,22,1,50.5517072,43420,14,ANTHONY,LEWIS
155,TPA,MKE,5/18/2016,85,22,22,1,50.5517072,43420,14,ANTHONY,LEWIS
156,BWI,MHT,5/23/2016,405,22,22,1,50.5517072,43420,14,ANTHONY,LEWIS
157,MCO,DEN,5/1/2016,519,22,22,1,50.5517072,43420,14,ANTHONY,LEWIS
158,MDW,DEN,5/2/2016,494,22,22,1,50.5517072,43420,14,ANTHONY,LEWIS
159,STL,MDW,5/17/2016,563,22,22,1,50.5517072,43420,14,ANTHONY,LEWIS
160,SJC,ONT,5/31/2016,644,24,24,0,48.77073073,50482,15,KIMBERLY,WALKER
161,BUR,OAK,5/10/2016,344,24,24,0,48.77073073,50482,15,KIMBERLY,WALKER
162,PVD,BWI,5/17/2016,553,24,24,0,48.77073073,50482,15,KIMBERLY,WALKER
163,SLC,LAS,5/16/2016,537,24,24,0,48.77073073,50482,15,KIMBERLY,WALKER
164,DTW,BNA,5/9/2016,213,24,24,0,48.77073073,50482,15,KIMBERLY,WALKER
165,ABQ,LAS,5/24/2016,351,24,24,0,48.77073073,50482,15,KIMBERLY,WALKER
166,OAK,SEA,5/16/2016,440,24,24,0,48.77073073,50482,15,KIMBERLY,WALKER
167,MDW,OMA,5/14/2016,204,24,24,0,48.77073073,50482,15,KIMBERLY,WALKER
168,SAN,DAL,5/9/2016,635,24,24,0,48.77073073,50482,15,KIMBERLY,WALKER
169,AUS,HRL,5/13/2016,85,24,24,0,48.77073073,50482,15,KIMBERLY,WALKER
170,PHX,LAS,5/25/2016,75,24,24,0,48.77073073,50482,15,KIMBERLY,WALKER
171,BWI,SEA,5/31/2016,305,24,24,0,48.77073073,50482,15,KIMBERLY,WALKER
172,ABQ,DEN,5/5/2016,375,24,24,0,48.77073073,50482,15,KIMBERLY,WALKER
173,OAK,DEN,5/16/2016,511,24,24,0,48.77073073,50482,15,KIMBERLY,WALKER
174,SAN,SMF,5/29/2016,617,24,24,0,48.77073073,50482,15,KIMBERLY,WALKER
175,MAF,HOU,5/3/2016,470,26,26,1,48.26966505,23509,4,GARY,ALLEN
176,LAS,SAT,5/18/2016,454,26,26,1,48.26966505,23509,4,GARY,ALLEN
177,HOU,CRP,5/16/2016,21,26,26,1,48.26966505,23509,4,GARY,ALLEN
178,DEN,PHL,5/5/2016,494,26,26,1,48.26966505,23509,4,GARY,ALLEN
179,PHX,TPA,5/30/2016,194,27,27,1,51.39647828,60513,2,TIMOTHY,YOUNG
180,HOU,BZE,5/7/2016,167,27,27,1,51.39647828,60513,2,TIMOTHY,YOUNG
181,BWI,CLE,5/27/2016,34,28,28,1,36.96361122,90051,10,JOSE,HERNANDEZ
182,DAL,AMA,5/24/2016,175,28,28,1,36.96361122,90051,10,JOSE,HERNANDEZ
183,RDU,BNA,5/27/2016,133,28,28,1,36.96361122,90051,10,JOSE,HERNANDEZ
184,MDW,MEM,5/25/2016,412,28,28,1,36.96361122,90051,10,JOSE,HERNANDEZ
185,PHX,SLC,5/26/2016,382,28,28,1,36.96361122,90051,10,JOSE,HERNANDEZ
186,RDU,TPA,5/7/2016,20,28,28,1,36.96361122,90051,10,JOSE,HERNANDEZ
187,LAS,SJC,5/22/2016,169,28,28,1,36.96361122,90051,10,JOSE,HERNANDEZ
188,BWI,CLT,5/28/2016,89,28,28,1,36.96361122,90051,10,JOSE,HERNANDEZ
189,MCI,MCO,5/6/2016,70,28,28,1,36.96361122,90051,10,JOSE,HERNANDEZ
190,SAN,TUS,5/23/2016,343,28,28,1,36.96361122,90051,10,JOSE,HERNANDEZ
191,BWI,RDU,5/23/2016,482,29,29,0,43.66597494,58356,3,ANGELA,KING
192,MSY,BWI,5/1/2016,553,29,29,0,43.66597494,58356,3,ANGELA,KING
193,AUS,MDW,5/11/2016,582,29,29,0,43.66597494,58356,3,ANGELA,KING
194,PHX,SFO,5/2/2016,626,30,30,1,53.34103761,17579,18,JEFFREY,WRIGHT
195,LAS,LAX,5/8/2016,151,30,30,1,53.34103761,17579,18,JEFFREY,WRIGHT
196,DAL,SAT,5/23/2016,252,30,30,1,53.34103761,17579,18,JEFFREY,WRIGHT
197,ATL,CUN,5/6/2016,322,30,30,1,53.34103761,17579,18,JEFFREY,WRIGHT
198,SMF,BUR,5/10/2016,271,30,30,1,53.34103761,17579,18,JEFFREY,WRIGHT
199,MHT,BWI,5/18/2016,425,30,30,1,53.34103761,17579,18,JEFFREY,WRIGHT
200,RDU,DEN,5/14/2016,161,30,30,1,53.34103761,17579,18,JEFFREY,WRIGHT
201,PVD,MCO,5/23/2016,227,30,30,1,53.34103761,17579,18,JEFFREY,WRIGHT
202,PHX,SEA,5/8/2016,257,30,30,1,53.34103761,17579,18,JEFFREY,WRIGHT
203,BUR,OAK,5/9/2016,512,30,30,1,53.34103761,17579,18,JEFFREY,WRIGHT
204,TPA,IND,5/25/2016,138,30,30,1,53.34103761,17579,18,JEFFREY,WRIGHT
205,ATL,MKE,5/4/2016,340,30,30,1,53.34103761,17579,18,JEFFREY,WRIGHT
206,SNA,SJC,5/19/2016,282,30,30,1,53.34103761,17579,18,JEFFREY,WRIGHT
207,BWI,ISP,5/12/2016,408,30,30,1,53.34103761,17579,18,JEFFREY,WRIGHT
208,OAK,PDX,5/26/2016,310,30,30,1,53.34103761,17579,18,JEFFREY,WRIGHT
209,SLC,OAK,5/13/2016,202,30,30,1,53.34103761,17579,18,JEFFREY,WRIGHT
210,MDW,MSP,5/27/2016,530,30,30,1,53.34103761,17579,18,JEFFREY,WRIGHT
211,EWR,AUS,5/17/2016,378,30,30,1,53.34103761,17579,18,JEFFREY,WRIGHT
212,LAX,MDW,5/24/2016,551,31,31,0,48.68663237,98527,8,BRENDA,LOPEZ
213,SAN,SJC,5/4/2016,94,31,31,0,48.68663237,98527,8,BRENDA,LOPEZ
214,BWI,PVD,5/27/2016,123,31,31,0,48.68663237,98527,8,BRENDA,LOPEZ
215,AMA,LAS,5/29/2016,280,31,31,0,48.68663237,98527,8,BRENDA,LOPEZ
216,AUS,EWR,5/30/2016,327,31,31,0,48.68663237,98527,8,BRENDA,LOPEZ
217,JAX,HOU,5/6/2016,48,31,31,0,48.68663237,98527,8,BRENDA,LOPEZ
218,HOU,HRL,5/13/2016,7,31,31,0,48.68663237,98527,8,BRENDA,LOPEZ
219,LAS,GEG,5/24/2016,31,31,31,0,48.68663237,98527,8,BRENDA,LOPEZ
220,MSP,BWI,5/28/2016,327,32,32,1,44.85036002,68440,3,SCOTT,HILL
221,LGA,DAL,5/20/2016,381,32,32,1,44.85036002,68440,3,SCOTT,HILL
222,FLL,DAL,5/28/2016,535,32,32,1,44.85036002,68440,3,SCOTT,HILL
223,STL,DTW,5/4/2016,441,33,33,0,39.08876898,74840,11,ANNA,SCOTT
224,SEA,STL,5/11/2016,103,33,33,0,39.08876898,74840,11,ANNA,SCOTT
225,HOU,BNA,5/1/2016,54,33,33,0,39.08876898,74840,11,ANNA,SCOTT
226,BWI,MSP,5/18/2016,429,33,33,0,39.08876898,74840,11,ANNA,SCOTT
227,AUS,LAS,5/4/2016,324,33,33,0,39.08876898,74840,11,ANNA,SCOTT
228,SAT,LAS,5/27/2016,376,33,33,0,39.08876898,74840,11,ANNA,SCOTT
229,DAL,SAT,5/25/2016,4,33,33,0,39.08876898,74840,11,ANNA,SCOTT
230,ATL,CMH,5/9/2016,13,33,33,0,39.08876898,74840,11,ANNA,SCOTT
231,HOU,BOS,5/5/2016,305,33,33,0,39.08876898,74840,11,ANNA,SCOTT
232,SAN,OAK,5/25/2016,177,33,33,0,39.08876898,74840,11,ANNA,SCOTT
233,STL,EWR,5/19/2016,300,33,33,0,39.08876898,74840,11,ANNA,SCOTT
234,DAL,BWI,5/28/2016,150,34,34,1,44.51225837,24432,8,STEPHEN,GREEN
235,BWI,PBI,5/4/2016,264,34,34,1,44.51225837,24432,8,STEPHEN,GREEN
236,ISP,BWI,5/11/2016,482,34,34,1,44.51225837,24432,8,STEPHEN,GREEN
237,MDW,PHX,5/25/2016,582,34,34,1,44.51225837,24432,8,STEPHEN,GREEN
238,DEN,IAD,5/31/2016,530,34,34,1,44.51225837,24432,8,STEPHEN,GREEN
239,HOU,ATL,5/1/2016,53,34,34,1,44.51225837,24432,8,STEPHEN,GREEN
240,SMF,SAN,5/29/2016,584,34,34,1,44.51225837,24432,8,STEPHEN,GREEN
241,MCI,OAK,5/1/2016,145,34,34,1,44.51225837,24432,8,STEPHEN,GREEN
242,LAS,RNO,5/11/2016,534,35,35,1,39.62296977,68865,3,ANDREW,ADAMS
243,LAX,SJC,5/18/2016,185,35,35,1,39.62296977,68865,3,ANDREW,ADAMS
244,DEN,LAX,5/24/2016,153,35,35,1,39.62296977,68865,3,ANDREW,ADAMS
245,STL,TPA,5/15/2016,293,36,36,0,36.95183861,99151,13,KATHLEEN,BAKER
246,PHX,ELP,5/20/2016,280,36,36,0,36.95183861,99151,13,KATHLEEN,BAKER
247,DCA,MDW,5/2/2016,330,36,36,0,36.95183861,99151,13,KATHLEEN,BAKER
248,HOU,ABQ,5/17/2016,14,36,36,0,36.95183861,99151,13,KATHLEEN,BAKER
249,EWR,STL,5/4/2016,436,36,36,0,36.95183861,99151,13,KATHLEEN,BAKER
250,BUR,SFO,5/25/2016,417,36,36,0,36.95183861,99151,13,KATHLEEN,BAKER
251,SAN,SJC,5/8/2016,413,36,36,0,36.95183861,99151,13,KATHLEEN,BAKER
252,DAL,SFO,5/6/2016,503,36,36,0,36.95183861,99151,13,KATHLEEN,BAKER
253,TPA,PIT,5/23/2016,460,36,36,0,36.95183861,99151,13,KATHLEEN,BAKER
254,MDW,MCO,5/9/2016,571,36,36,0,36.95183861,99151,13,KATHLEEN,BAKER
255,SMF,SAN,5/31/2016,258,36,36,0,36.95183861,99151,13,KATHLEEN,BAKER
256,MDW,MCO,5/17/2016,445,36,36,0,36.95183861,99151,13,KATHLEEN,BAKER
257,SMF,SAN,5/1/2016,575,36,36,0,36.95183861,99151,13,KATHLEEN,BAKER
258,CHS,MDW,5/5/2016,346,37,37,1,46.76709777,43270,10,GREGORY,GONZALEZ
259,EWR,MCO,5/14/2016,133,37,37,1,46.76709777,43270,10,GREGORY,GONZALEZ
260,DCA,ATL,5/12/2016,305,37,37,1,46.76709777,43270,10,GREGORY,GONZALEZ
261,LAX,DAL,5/28/2016,560,37,37,1,46.76709777,43270,10,GREGORY,GONZALEZ
262,STL,LAS,5/26/2016,414,37,37,1,46.76709777,43270,10,GREGORY,GONZALEZ
263,SAT,DAL,5/27/2016,44,37,37,1,46.76709777,43270,10,GREGORY,GONZALEZ
264,TPA,LAS,5/13/2016,541,37,37,1,46.76709777,43270,10,GREGORY,GONZALEZ
265,ATL,TPA,5/6/2016,118,37,37,1,46.76709777,43270,10,GREGORY,GONZALEZ
266,MDW,CLT,5/9/2016,373,37,37,1,46.76709777,43270,10,GREGORY,GONZALEZ
267,FLL,BWI,5/31/2016,166,37,37,1,46.76709777,43270,10,GREGORY,GONZALEZ
268,MSY,FLL,5/23/2016,183,38,38,1,44.31346691,33107,12,JOSHUA,NELSON
269,SFO,SAN,5/27/2016,17,38,38,1,44.31346691,33107,12,JOSHUA,NELSON
270,DEN,SJC,5/11/2016,235,38,38,1,44.31346691,33107,12,JOSHUA,NELSON
271,RNO,LAS,5/30/2016,484,38,38,1,44.31346691,33107,12,JOSHUA,NELSON
272,HOU,DAL,5/14/2016,2,38,38,1,44.31346691,33107,12,JOSHUA,NELSON
273,SAN,DEN,5/6/2016,388,38,38,1,44.31346691,33107,12,JOSHUA,NELSON
274,MSY,HOU,5/3/2016,305,38,38,1,44.31346691,33107,12,JOSHUA,NELSON
275,BWI,ISP,5/14/2016,440,38,38,1,44.31346691,33107,12,JOSHUA,NELSON
276,AUS,DEN,5/10/2016,12,38,38,1,44.31346691,33107,12,JOSHUA,NELSON
277,DCA,HOU,5/11/2016,331,38,38,1,44.31346691,33107,12,JOSHUA,NELSON
278,LAS,BOI,5/4/2016,24,38,38,1,44.31346691,33107,12,JOSHUA,NELSON
279,MDW,ALB,5/21/2016,305,38,38,1,44.31346691,33107,12,JOSHUA,NELSON
280,PHX,SMF,5/6/2016,159,40,40,0,45.89575131,38046,2,AMANDA,MITCHELL
281,FLL,ATL,5/23/2016,134,40,40,0,45.89575131,38046,2,AMANDA,MITCHELL
282,ATL,DCA,5/23/2016,361,41,41,1,41.58132854,62326,1,WALTER,PEREZ
283,DAL,SAT,5/8/2016,236,42,42,0,52.5418836,96028,10,CAROLYN,ROBERTS
284,MKE,LGA,5/31/2016,287,42,42,0,52.5418836,96028,10,CAROLYN,ROBERTS
285,ONT,SMF,5/29/2016,439,42,42,0,52.5418836,96028,10,CAROLYN,ROBERTS
286,SAT,STL,5/23/2016,24,42,42,0,52.5418836,96028,10,CAROLYN,ROBERTS
287,DEN,SJC,5/29/2016,605,42,42,0,52.5418836,96028,10,CAROLYN,ROBERTS
288,JAX,MDW,5/30/2016,310,42,42,0,52.5418836,96028,10,CAROLYN,ROBERTS
