CustomerNumber,Gender,Age,ZipCode,TotalFlights,first_name,last_name
54,1,48,77237,0,ALBERT,REED
55,0,33,22402,7,DORIS,COOK
56,1,41,95250,1,JUSTIN,MORGAN
57,0,40,73747,0,EVELYN,BELL
58,0,44,4487,4,JEAN,MURPHY
59,1,34,73154,0,KEITH,BAILEY
60,1,38,55360,8,SAMUEL,RIVERA
61,0,48,68440,3,KATHERINE,COOPER
62,1,44,68865,11,RALPH,RICHARDSON
63,0,38,89028,0,ASHLEY,COX
64,1,42,92801,6,NICHOLAS,HOWARD
65,0,49,19038,0,ROSE,WARD
66,0,35,17220,0,JANICE,TORRES
67,0,42,30643,13,KELLY,PETERSON
68,0,42,23509,0,NICOLE,GRAY
69,0,44,12022,14,JUDY,RAMIREZ
70,1,46,78150,18,HARRY,JAMES
71,1,53,63163,9,FRED,WATSON
72,0,46,60597,8,THERESA,BROOKS
73,0,41,59115,0,BEVERLY,KELLY
74,0,50,56393,3,DENISE,SANDERS
75,1,39,78847,10,LOUIS,PRICE
76,1,46,54313,25,JEREMY,BENNETT
77,0,51,32635,0,JANE,WOOD
78,1,49,10072,8,RANDY,BARNES
79,0,47,47383,2,RACHEL,ROSS
80,0,33,48175,3,MARILYN,HENDERSON
81,1,43,95961,11,CARLOS,COLEMAN
82,0,41,13783,5,KATHRYN,JENKINS
83,1,50,25425,0,BOBBY,PERRY
84,1,48,56593,0,VICTOR,POWELL
85,1,45,72183,12,MARTIN,LONG
86,1,47,20918,16,ERNEST,PATTERSON
87,1,40,30747,0,PHILLIP,HUGHES
88,1,47,14452,2,TODD,FLORES
89,0,44,75089,5,JULIA,WASHINGTON
90,1,35,99729,2,CRAIG,BUTLER
91,1,45,71149,4,ALAN,SIMMONS
92,0,47,93450,5,TINA,FOSTER
93,0,49,48410,11,PHYLLIS,GONZALES
94,1,46,94602,2,SEAN,BRYANT
95,0,48,94572,23,PAULA,ALEXANDER
96,0,35,43270,7,DIANA,RUSSELL
97,1,42,61727,1,JOHNNY,GRIFFIN
98,1,43,12022,7,EARL,DIAZ
99,0,42,91944,7,EMILY,HAYES
100,1,43,48410,0,ANTONIO,MYERS
101,0,41,48622,4,PEGGY,FORD
102,0,47,45235,10,CRYSTAL,HAMILTON
103,1,39,33835,7,TONY,GRAHAM
104,0,44,72183,1,RITA,SULLIVAN
105,0,44,59115,9,DAWN,WALLACE
106,0,44,18465,3,CONNIE,WOODS
107,1,39,44242,6,LEONARD,COLE
108,1,50,2446,3,NATHAN,WEST
109,0,42,75372,0,EDNA,JORDAN
110,1,37,52362,4,MANUEL,OWENS
111,0,47,23071,5,CARMEN,REYNOLDS
112,0,43,90813,19,ROSA,FISHER
113,0,43,93450,21,CINDY,ELLIS
114,0,43,26104,8,GRACE,HARRISON
115,0,45,44859,0,WENDY,GIBSON
116,1,43,62334,0,VINCENT,MCDONALD
117,0,40,76547,0,EDITH,CRUZ
118,1,37,33918,21,JEFFERY,MARSHALL
119,0,45,1020,4,SHERRY,ORTIZ
120,1,36,35058,7,JEFF,GOMEZ
121,1,49,64490,1,CHAD,MURRAY
122,1,39,53575,0,JACOB,FREEMAN
123,1,39,5678,13,LEE,WELLS
124,1,39,70548,4,MELVIN,WEBB
125,0,37,63163,4,ETHEL,SIMPSON
126,1,40,33425,2,KYLE,STEVENS
127,1,42,17885,12,FRANCIS,TUCKER
128,1,32,20850,4,BRADLEY,PORTER
129,1,32,8105,3,JESUS,HUNTER
130,0,40,44614,13,CHARLOTTE,HICKS
131,1,48,93584,13,FREDERICK,CRAWFORD
132,1,37,85063,0,RAY,HENRY
133,0,43,49920,6,PAULINE,BOYD
134,0,50,15227,0,EMMA,MASON
135,1,37,37412,18,DON,MORALES
136,0,41,23405,8,ANITA,KENNEDY
137,0,40,77448,0,RHONDA,WARREN
138,0,48,68846,1,HAZEL,DIXON
139,0,46,26104,8,AMBER,RAMOS
140,1,46,23509,3,BARRY,REYES
141,1,55,66404,2,ALEXANDER,BURNS
142,0,51,8550,0,APRIL,GORDON
143,0,43,44859,14,LESLIE,SHAW
144,1,43,55191,0,LEROY,HOLMES
145,0,37,9172,16,LUCILLE,RICE
146,1,35,6928,5,MARCUS,ROBERTSON
147,1,43,72540,11,MICHEAL,HUNT
148,1,37,90051,8,THEODORE,BLACK
149,1,47,62326,3,CLIFFORD,DANIELS
150,0,40,69157,7,DANIELLE,PALMER
151,0,41,20409,6,MEGAN,MILLS
152,0,36,46017,0,ALICIA,NICHOLS
153,1,54,12022,0,JIM,GRANT
154,0,47,48175,10,MICHELE,KNIGHT
155,1,40,17833,4,CALVIN,FERGUSON
156,1,44,20918,5,ALEX,ROSE
157,1,50,1020,0,JON,STONE
158,0,39,48602,0,VERONICA,HAWKINS
159,1,53,43780,0,BILL,DUNN
160,0,39,17579,0,ERIN,PERKINS
161,0,43,17254,16,GERALDINE,HUDSON
162,1,36,75181,7,LEON,SPENCER
163,0,31,70403,2,CATHY,GARDNER
164,1,48,37412,1,WARREN,STEPHENS
165,1,44,94602,16,DARRELL,PAYNE
166,0,35,91390,4,LYNN,PIERCE
167,0,36,84047,0,SALLY,BERRY
168,1,49,97469,6,LEO,MATTHEWS
169,0,43,64490,10,ERICA,ARNOLD
170,1,50,61830,7,TIM,WAGNER
171,0,47,13783,9,DOLORES,WILLIS
172,1,43,5678,2,GORDON,RAY
173,0,44,40385,3,AUDREY,WATKINS
174,1,41,88348,5,GREG,OLSON
175,0,44,76244,8,ANNETTE,CARROLL
176,1,43,35602,13,DUSTIN,DUNCAN
177,0,48,91946,7,SAMANTHA,SNYDER
178,0,43,2053,0,MARION,HART
179,0,47,79063,0,DANA,CUNNINGHAM
180,1,48,37863,12,LEWIS,BRADLEY
181,0,44,60453,1,ANA,LANE
182,1,37,67035,20,COREY,ANDREWS
183,0,43,27823,14,IDA,RUIZ
184,1,34,29925,0,MAURICE,HARPER
185,0,38,70548,0,ROBERTA,FOX
186,0,47,27864,4,HOLLY,RILEY
187,0,46,96028,5,BRITTANY,ARMSTRONG
188,0,43,95961,1,MELANIE,CARPENTER
189,0,42,94066,0,LORETTA,WEAVER
190,1,40,35032,4,SHANE,GREENE
191,0,41,8829,3,JEANETTE,LAWRENCE
192,0,48,40847,6,LAURIE,ELLIOTT
193,1,46,20121,1,RICK,CHAVEZ
194,0,37,30302,24,KRISTEN,SIMS
195,0,44,66404,2,VANESSA,AUSTIN
196,0,44,38658,3,ALMA,PETERS
197,1,51,56393,14,CHARLIE,KELLEY
198,0,35,83654,13,ELSIE,FRANKLIN
199,0,40,21734,26,BETH,LAWSON
200,1,48,48465,18,GENE,FIELDS
201,0,38,32968,14,VICKI,GUTIERREZ
202,1,55,69216,1,REGINALD,RYAN
203,0,38,92280,0,TARA,SCHMIDT
204,0,44,27979,5,ROSEMARY,CARR
205,1,46,97374,2,ANGEL,VASQUEZ
206,1,48,47516,2,NATHANIEL,CASTILLO
207,0,47,49793,7,GERTRUDE,WHEELER
208,0,41,76244,3,LUCY,CHAPMAN
209,0,48,33615,3,TONYA,OLIVER
210,1,40,54840,2,MILTON,MONTGOMERY
211,1,41,90264,0,RAUL,RICHARDS
212,0,46,46943,3,WILMA,WILLIAMSON
213,0,51,77206,14,GINA,JOHNSTON
214,0,42,55360,6,KRISTIN,BANKS
215,0,39,78847,2,JESSIE,MEYER
216,0,49,67570,0,NATALIE,BISHOP
217,1,37,56501,5,ANDRE,MCCOY
218,0,52,8322,8,VERA,HOWELL
219,1,39,78150,6,BRAD,ALVAREZ
220,0,47,17254,0,CHARLENE,MORRISON
221,0,48,13113,0,BESSIE,HANSEN
222,0,47,2446,11,DELORES,FERNANDEZ
223,1,45,92663,0,ROLAND,GARZA
224,1,44,66404,0,ARNOLD,HARVEY
225,1,36,70176,0,HARVEY,LITTLE
226,0,40,48277,0,MAUREEN,BURTON
227,0,47,23405,5,COLLEEN,STANLEY
228,1,47,4332,7,KARL,NGUYEN
229,1,39,25607,11,CORY,GEORGE
230,1,45,27979,3,CLAUDE,JACOBS
231,1,45,10171,0,ERIK,REID
232,0,52,16220,0,CONSTANCE,KIM
233,0,41,33615,0,LILLIE,FULLER
234,0,41,68735,0,CLAUDIA,LYNCH
235,1,39,1259,1,JESSIE,DEAN
236,1,39,84328,10,CHRISTIAN,GILBERT
237,0,45,11791,16,TANYA,GARRETT
238,1,40,10286,0,FERNANDO,ROMERO
239,0,49,2061,7,MINNIE,WELCH
240,0,40,41562,0,MARLENE,LARSON
241,1,51,8550,5,MATHEW,FRAZIER
242,0,46,28391,0,GLENDA,BURKE
243,1,45,77261,2,DARREN,HANSON
244,1,38,93637,14,LONNIE,DAY
245,1,45,16865,8,LANCE,MENDOZA
246,1,44,28328,7,CODY,MORENO
247,0,47,78759,14,STELLA,BOWMAN
248,0,41,38376,0,CAROLINE,MEDINA
249,0,37,92663,2,DORA,FOWLER
250,1,45,14559,7,ALLAN,BREWER
251,1,44,1111,12,NELSON,HOFFMAN
252,1,45,14131,11,GUY,CARLSON
253,0,48,60474,7,TERRY,SILVA
254,1,39,16745,9,HUGH,PEARSON
255,1,32,75838,5,MAX,HOLLAND
256,1,46,44242,8,DWAYNE,DOUGLAS
257,1,45,16745,13,DWIGHT,FLEMING
258,0,41,25425,0,MYRTLE,JENSEN
259,0,44,27864,0,LENA,VARGAS
260,1,38,2446,7,JIMMIE,BYRD
261,1,33,2061,14,EVERETT,DAVIDSON
262,0,35,15206,6,PATSY,HOPKINS
263,0,44,44264,0,HILDA,MAY
264,0,50,55191,15,GWENDOLYN,TERRY
265,1,42,95250,2,KEN,HERRERA
266,1,47,2215,5,BOB,WADE
267,0,41,35032,0,MARGIE,SOTO
268,1,43,54214,5,CASEY,WALTERS
269,1,47,27873,9,ALFREDO,CURTIS
270,1,44,62983,4,ALBERTO,NEAL
271,1,41,16745,11,DAVE,CALDWELL
272,1,39,44859,0,IVAN,LOWE
273,0,43,62426,0,PRISCILLA,JENNINGS
274,0,49,31415,7,NAOMI,BARNETT
275,0,36,23231,15,CAROLE,GRAVES
276,1,48,40385,0,JULIAN,JIMENEZ
277,0,45,56080,5,OLGA,HORTON
278,1,39,48079,0,MORRIS,SHELTON
279,0,43,30725,10,DIANNE,BARRETT
280,1,43,44859,0,WILLARD,OBRIEN
281,1,39,50228,6,DARYL,CASTRO
282,0,41,17254,5,JENNY,SUTTON
283,0,37,66537,0,FELICIA,GREGORY
284,0,34,79007,10,SONIA,MCKINNEY
285,1,44,33646,0,MARSHALL,LUCAS
286,0,49,48079,12,VELMA,MILES
287,0,51,60453,0,BECKY,CRAIG
288,1,38,13676,20,KIRK,RODRIQUEZ
289,1,54,43420,11,SERGIO,CHAMBERS
290,1,51,72930,10,MARION,HOLT
291,1,50,21401,0,TRACY,LAMBERT
292,0,40,73154,8,MISTY,FLETCHER
293,1,41,3849,0,KENT,WATTS
294,0,34,79540,1,SHELLY,BATES
295,0,44,12526,8,DAISY,HALE
296,0,42,44851,0,RAMONA,RHODES
297,0,44,49920,8,SHERRI,PENA
298,1,39,47654,0,ENRIQUE,BECK
299,1,47,36134,4,FREDDIE,NEWMAN
300,1,45,27409,7,WADE,HAYNES
301,0,38,19492,8,LINDSEY,MCDANIEL
302,1,43,56501,9,STUART,MENDEZ
303,0,45,50302,10,GENEVA,BUSH
304,0,53,74756,5,GUADALUPE,VAUGHN
305,1,44,17833,1,ALEJANDRO,PARKS
306,1,39,51554,3,JACKIE,DAWSON
307,1,42,80602,14,JOEY,SANTIAGO
308,1,43,36134,7,NICK,NORRIS
309,1,43,90813,11,LUTHER,HARDY
310,1,35,33991,5,WENDELL,LOVE
311,0,42,11791,16,NATASHA,STEELE
312,0,40,43420,5,SABRINA,CURRY
313,1,42,21401,8,JULIUS,POWERS
314,1,54,15229,0,DANA,SCHULTZ
315,1,40,51453,10,DONNIE,BARKER
316,1,50,80731,11,OTIS,GUZMAN
317,1,49,90264,11,SHANNON,PAGE
318,1,47,30643,9,TREVOR,MUNOZ
319,1,44,65261,0,OLIVER,BALL
320,1,47,31415,0,LUKE,KELLER
321,1,41,19885,0,HOMER,CHANDLER
322,1,41,29932,9,GERARD,WEBER
323,0,40,96027,8,ROSIE,LEONARD
324,0,45,50427,7,JOANNA,WALSH
325,0,42,48277,7,IRIS,LYONS
326,0,42,17220,5,EUNICE,RAMSEY
327,1,50,39183,3,SHAUN,WOLFE
328,1,40,85940,1,LYLE,SCHNEIDER
329,1,47,94602,0,MATT,MULLINS
330,0,41,74756,0,MADELINE,BENSON
331,1,36,76547,12,ALFONSO,SHARP
332,1,37,24202,8,ORLANDO,BOWEN
333,1,41,78056,12,REX,DANIEL
334,1,47,54230,23,CARLTON,BARBER
335,1,47,25625,11,ERNESTO,CUMMINGS
336,1,42,95961,7,CAMERON,HINES
337,1,46,78203,6,NEAL,BALDWIN
338,0,44,16745,2,KAYLA,GRIFFITH
339,0,42,42223,14,SONYA,VALDEZ
340,0,48,8550,12,JAN,HUBBARD
341,0,49,56393,11,LEE,SALAZAR
342,1,48,1111,14,BLAKE,REEVES
343,1,42,41173,0,GRANT,WARNER
344,0,46,78614,0,FANNIE,STEVENSON
345,1,33,62983,9,RODERICK,BURGESS
346,0,44,95542,12,OPAL,SANTOS
347,0,45,29118,5,ALISON,TATE
348,1,44,77072,12,WILLIS,CROSS
349,0,42,68739,9,MELODY,GARNER
350,1,50,19038,0,JEAN,MANN
351,0,43,15003,0,SUSIE,MACK
352,1,43,77515,9,ANDRES,MOSS
353,0,42,37412,8,FLORA,THORNTON
354,0,48,60144,0,SHELLEY,DENNIS
355,0,42,64490,5,KRISTY,MCGEE
356,0,39,25607,0,MAMIE,FARMER
357,1,43,28391,0,DAMON,DELGADO
358,1,52,77020,6,KELVIN,AGUILAR
359,1,42,61299,11,RUDY,VEGA
360,0,46,88419,0,BEULAH,GLOVER
361,1,42,53021,7,ALTON,MANNING
362,0,42,28574,0,CANDICE,COHEN
363,1,41,33107,10,MARCO,HARMON
364,0,38,40175,8,JEANNETTE,RODGERS
365,0,43,45322,13,PAM,ROBBINS
366,0,47,24012,8,KELLI,NEWTON
367,0,51,60610,2,HANNAH,TODD
368,1,46,96701,16,GEOFFREY,BLAIR
369,1,40,11740,8,JONATHON,HIGGINS
370,1,47,62665,5,FELIPE,INGRAM
371,0,46,32403,4,CELIA,REESE
372,1,50,16745,0,GERARDO,CANNON
373,0,54,47654,12,PATTY,STRICKLAND
374,0,49,77072,6,SHELIA,TOWNSEND
375,1,42,41812,2,ROBIN,POTTER
376,1,43,36462,0,LOREN,GOODWIN
377,1,49,84190,6,DELBERT,WALTON
378,0,41,29925,0,LYNNE,ROWE
379,1,43,18098,2,GUILLERMO,HAMPTON
380,1,47,78056,0,EARNEST,ORTEGA
381,0,49,72513,4,KARA,PATTON
382,1,45,78353,4,BENNY,SWANSON
383,0,30,37367,7,ERMA,JOSEPH
384,1,45,11740,11,SPENCER,FRANCIS
385,1,42,84103,0,RODOLFO,GOODMAN
386,0,39,85256,5,LETICIA,MALDONADO
387,0,44,47986,2,PAT,YATES
388,1,49,90290,0,GARRETT,BECKER
389,1,38,24432,1,SALVATORE,ERICKSON
390,0,51,97738,6,ANGELICA,HODGES
391,1,48,29118,0,LOWELL,RIOS
392,1,48,83851,3,GREGG,CONNER
393,1,40,85193,11,SHERMAN,ADKINS
394,1,42,74840,0,WILSON,WEBSTER
395,1,42,28574,2,DEVIN,NORMAN
396,1,44,79330,6,SYLVESTER,MALONE
397,0,43,5354,3,BROOKE,HAMMOND
398,0,42,59115,12,BETHANY,FLOWERS
399,1,43,77284,0,ISRAEL,COBB
400,0,42,62983,0,BERNADETTE,MOODY
401,1,45,51554,0,FORREST,QUINN
402,0,36,95250,6,JODY,BLAKE
403,0,46,52621,10,KENDRA,MAXWELL
404,1,52,43780,12,SIMON,POPE
405,1,49,99151,2,GUADALUPE,FLOYD
406,1,39,91114,0,CLARK,OSBORNE
407,1,49,90084,6,IRVING,PAUL
408,1,54,95661,9,CARROLL,MCCARTHY
409,0,42,23509,0,ERNESTINE,GUERRERO
410,1,47,36462,3,OWEN,LINDSEY
411,1,55,18302,10,RUFUS,ESTRADA
412,1,48,46361,6,WOODROW,SANDOVAL
413,0,51,50427,5,KRYSTAL,GIBBS
414,0,38,78585,12,ANGELINA,TYLER
415,1,45,4940,2,MACK,GROSS
416,1,45,81335,10,LEVI,FITZGERALD
417,0,46,45433,2,ESTELLE,STOKES
418,1,47,80432,9,GUSTAVO,DOYLE
419,1,44,28328,7,JAKE,SHERMAN
420,1,37,65534,0,LIONEL,SAUNDERS
421,0,49,97231,0,MONA,WISE
422,0,45,25625,2,DOREEN,COLON
423,0,38,33069,0,ROSEMARIE,GILL
424,1,47,99353,2,DALLAS,ALVARADO
425,0,46,27823,9,DESIREE,GREER
426,0,46,12866,8,ANTONIA,PADILLA
427,0,42,44851,0,HOPE,SIMON
428,0,51,85256,2,GINGER,WATERS
429,0,46,97231,2,JANIS,NUNEZ
430,0,40,72959,6,BETSY,BALLARD
431,1,36,20121,9,DREW,SCHWARTZ
432,1,40,76244,12,JODY,MCBRIDE
433,1,32,51453,0,ERVIN,HOUSTON
434,0,42,56623,10,MEREDITH,CHRISTENSEN
435,0,44,78203,9,LYNETTE,KLEIN
436,1,38,58008,3,WILFRED,PRATT
437,1,41,1842,7,JOSH,BRIGGS
438,1,51,46303,6,HUGO,PARSONS
439,0,44,2646,13,LEIGH,MCLAUGHLIN
440,1,51,29932,3,CALEB,ZIMMERMAN
441,0,43,71859,12,SOPHIA,FRENCH
442,1,43,97231,0,SHELDON,BUCHANAN
443,0,33,50427,8,ROCHELLE,MORAN
444,1,47,68735,0,FRANKIE,COPELAND
445,1,49,4332,7,STEWART,ROY
446,1,42,56342,4,DOYLE,PITTMAN
447,0,42,33918,0,HENRIETTA,BRADY
448,1,47,75372,0,ROGELIO,MCCORMICK
449,0,40,74878,0,JANA,HOLLOWAY
450,0,40,46943,1,KELLEY,BROCK
451,1,45,13408,2,ALONZO,POOLE
452,0,41,25607,1,KERRY,FRANK
453,1,46,20850,2,BERT,LOGAN
454,0,39,84059,0,TRICIA,OWEN
455,0,51,8322,14,LAVERNE,BASS
456,1,47,14453,4,CONRAD,MARSH
457,0,44,92055,9,ALEXIS,DRAKE
458,0,39,60144,6,TASHA,WONG
459,0,38,73747,6,SILVIA,JEFFERSON
460,0,39,84190,8,ELVIRA,PARK
461,0,37,91946,6,CASEY,MORTON
462,0,50,91114,2,DELIA,ABBOTT
463,0,45,44242,15,SOPHIE,SPARKS
464,0,49,42223,3,KATE,PATRICK
465,0,52,58656,0,PATTI,NORTON
466,1,50,68846,21,DEXTER,HUFF
467,0,46,15455,14,KELLIE,CLAYTON
468,1,42,8322,0,MERLE,MASSEY
469,1,47,7074,0,DARIN,LLOYD
470,0,45,39521,3,LANA,FIGUEROA
471,1,42,84190,5,TERRELL,CARSON
472,1,41,79330,6,MOSES,BOWERS
473,1,49,21872,0,IRVIN,ROBERSON
474,0,51,96615,0,ESSIE,BARTON
475,0,42,43755,4,MANDY,TRAN
476,1,41,15003,0,DARNELL,LAMB
477,1,47,93450,0,RANDAL,HARRINGTON
478,1,40,47654,17,TOMMIE,CASEY
479,1,46,30822,10,TIMMY,BOONE
480,0,52,32541,2,MIRANDA,CORTEZ
481,1,41,80432,5,WINSTON,CLARKE
482,0,44,29208,0,LUCIA,MATHIS
483,1,53,96615,0,TOBY,SINGLETON
484,0,42,23071,0,FAITH,WILKINS
485,0,44,14706,8,LELA,CAIN
486,0,39,54840,3,JOHANNA,BRYAN
487,0,40,65332,5,SHARI,UNDERWOOD
488,1,37,12236,0,COURTNEY,HOGAN
489,1,58,62665,14,JAN,MCKENZIE
490,1,46,23415,7,EMILIO,COLLIER
491,1,43,37183,21,ELIJAH,LUNA
492,1,38,48277,10,CARY,PHELPS
493,0,35,74840,7,MELBA,MCGUIRE
494,1,45,32909,7,SANTOS,ALLISON
495,0,43,4940,8,NETTIE,BRIDGES
496,1,46,18621,14,EMMETT,WILKERSON
497,0,47,27982,0,OLLIE,NASH
498,1,48,17833,7,EMANUEL,SUMMERS
499,0,43,41812,2,WINIFRED,ATKINS
500,1,46,30747,0,EDMOND,WILCOX
501,1,42,62923,0,EMIL,PITTS
502,0,39,8550,3,ALISHA,CONLEY
503,0,42,96027,6,AIMEE,MARQUEZ
504,0,47,44264,0,RENA,BURNETT
505,1,46,41812,0,TEDDY,RICHARD
506,1,43,56382,0,REYNALDO,COCHRAN
507,1,45,46361,3,BRET,CHASE
508,0,51,46320,2,LATASHA,DAVENPORT
509,0,35,1842,0,BONITA,HOOD
510,1,37,30747,0,TRENT,GATES
511,0,43,13042,19,RONDA,CLAY
512,0,47,72821,9,SHERRIE,AYALA
513,1,42,70176,2,STEPHAN,SAWYER
514,0,48,54840,0,FRANCINE,ROMAN
515,0,29,18465,5,DELORIS,VAZQUEZ
516,0,32,5678,3,STACIE,DICKERSON
517,1,41,56501,13,STACY,HODGE
518,0,56,2748,4,CHERI,ACOSTA
519,1,43,27979,0,MILES,FLYNN
520,0,33,23231,0,ABIGAIL,ESPINOZA
521,1,42,92307,0,EFRAIN,NICHOLSON
522,0,46,20755,9,JEWEL,MONROE
523,1,48,75838,6,LOGAN,WOLF
524,1,46,29474,0,HEATH,MORROW
525,0,42,83654,9,REBEKAH,KIRK
526,0,47,60030,1,LUCINDA,RANDALL
527,1,49,50847,0,DEMETRIUS,ANTHONY
528,0,41,33107,0,CHRIS,WHITAKER
529,1,43,15770,7,ELDON,OCONNOR
530,0,43,43780,3,TRINA,SKINNER
531,1,35,23405,0,PIERRE,WARE
532,0,37,48121,6,SHAWN,MOLINA
533,0,32,4487,4,SALLIE,KIRBY
534,0,44,25625,3,AURORA,HUFFMAN
535,0,42,46797,0,LENORA,BRADFORD
536,1,42,42402,13,ANTOINE,CHARLES
537,1,43,38627,2,ROBBIE,GILMORE
538,0,46,77090,9,KERRI,DOMINGUEZ
539,1,40,44242,4,ROYCE,ONEAL
540,0,49,56425,1,NIKKI,BRUCE
541,1,36,61516,0,MICKEY,LANG
542,1,43,92801,7,CHASE,COMBS
543,0,43,17256,2,JOSIE,KRAMER
544,1,48,21734,6,ELTON,HEATH
545,0,41,15206,3,MARISSA,HANCOCK
546,0,49,14471,11,KARIN,GALLAGHER
547,0,42,97374,6,BRITTNEY,GAINES
548,0,43,32190,3,JANELLE,SHAFFER
549,0,43,30816,5,LOURDES,SHORT
550,1,47,78759,6,STAN,WIGGINS
551,1,48,50586,0,AUGUST,MATHEWS
552,0,41,40290,4,FERN,MCCLAIN
553,0,37,12416,11,ELVA,FISCHER
554,0,39,18223,0,CORINNE,WALL
555,0,44,14471,0,KELSEY,SMALL
556,1,43,77206,1,BENITO,MELTON
557,1,44,56382,4,HANS,HENSLEY
558,0,40,13042,0,ELISABETH,BOND
559,0,47,21401,0,AIDA,DYER
560,1,43,33857,0,ERNIE,CAMERON
561,0,36,77448,0,INGRID,GRIMES
562,1,44,29851,7,QUENTIN,CONTRERAS
563,1,46,47986,6,AGUSTIN,CHRISTIAN
564,1,44,2763,8,MURRAY,WYATT
565,1,44,8322,0,JAMAL,BAXTER
566,1,45,9310,16,DEVON,SNOW
567,1,38,78203,14,ADOLFO,MOSLEY
568,1,51,93665,0,HARRISON,SHEPHERD
569,1,42,715,2,TYSON,LARSEN
570,1,51,74756,5,BURTON,HOOVER
571,1,41,47138,14,BRADY,BEASLEY
572,1,48,33918,3,ELLIOTT,GLENN
573,0,45,77206,1,JANETTE,PETERSEN
574,0,44,74540,5,LATONYA,WHITEHEAD
575,1,39,47516,0,JARROD,MEYERS
576,1,49,30816,6,VANCE,KEITH
577,1,46,1259,4,DENIS,GARRISON
578,1,43,60932,0,DAMIEN,VINCENT
579,0,49,74840,6,ROSETTA,SHIELDS
580,0,44,15770,0,DEBORA,HORN
581,1,54,78150,4,DESMOND,SAVAGE
582,0,48,30816,7,POLLY,OLSEN
583,0,42,14471,10,DINA,SCHROEDER
584,1,50,24137,7,ASHLEY,HARTMAN
585,0,44,1842,0,FAY,WOODARD
586,1,53,2763,0,BUDDY,MUELLER
587,0,44,21872,0,DOROTHEA,KEMP
588,1,43,53575,11,KERMIT,DELEON
589,0,44,18465,0,TRUDY,BOOTH
590,0,45,60610,0,ESPERANZA,PATEL
591,1,51,23161,0,ANTON,CALHOUN
592,0,45,5354,10,KIMBERLEY,WILEY
593,0,43,90051,7,SHANNA,EATON
594,0,41,10171,7,HELENA,CLINE
595,0,47,28391,14,CAROLINA,NAVARRO
596,0,41,1472,2,CLEO,HARRELL
597,1,38,715,0,NOLAN,LESTER
598,0,39,98527,14,ROSARIO,HUMPHREY
599,1,41,50629,0,ROD,PARRISH
600,0,43,46303,0,JANINE,DURAN
601,0,49,17254,4,MOLLIE,HUTCHINSON
602,1,41,99733,0,BRAIN,HESS
603,1,49,7874,11,ROB,DORSEY
604,1,36,21734,0,ELWOOD,BULLOCK
605,1,56,27942,4,KENDRICK,ROBLES
606,0,36,41263,3,SUSANNE,BEARD
607,0,44,27982,3,BETTE,DALTON
608,1,42,2777,12,SON,AVILA
609,0,40,64490,4,ELISE,VANCE
610,1,47,11026,0,FIDEL,RICH
611,1,49,79330,0,THADDEUS,BLACKWELL
